max speed;age;thousand km per year;group
153.0;46.0;22.0;1
195.0;45.0;36.0;1
208.0;31.0;47.0;0
161.0;54.0;71.0;2
171.0;24.0;47.0;0
169.0;86.0;15.0;0
191.0;34.0;44.0;2
193.0;46.0;34.0;1
162.0;42.0;23.0;1
160.0;32.0;35.0;0
149.0;49.0;5.0;1
177.0;79.0;22.0;0
186.0;49.0;47.0;1
186.0;39.0;33.0;1
168.0;25.0;6.0;0
162.0;58.0;57.0;2
137.0;26.0;17.0;2
183.0;53.0;40.0;1
180.0;46.0;48.0;2
175.0;78.0;26.0;0
161.0;58.0;29.0;1
195.0;32.0;53.0;0
181.0;40.0;13.0;2
156.0;30.0;5.0;1
169.0;67.0;14.0;0
172.0;65.0;10.0;1
170.0;47.0;37.0;2
161.0;67.0;22.0;0
149.0;42.0;19.0;1
182.0;25.0;25.0;0
150.0;19.0;24.0;2
162.0;37.0;6.0;1
174.0;19.0;25.0;0
151.0;90.0;39.0;2
180.0;79.0;15.0;0
189.0;18.0;53.0;2
168.0;75.0;5.0;2
198.0;36.0;52.0;0
134.0;22.0;12.0;2
153.0;42.0;13.0;1
143.0;24.0;15.0;2
162.0;81.0;15.0;0
146.0;48.0;17.0;1
161.0;25.0;26.0;0
160.0;45.0;33.0;1
208.0;63.0;5.0;2
177.0;36.0;30.0;0
167.0;83.0;45.0;2
154.0;46.0;46.0;1
171.0;52.0;10.0;1
152.0;45.0;23.0;1
164.0;32.0;28.0;0
142.0;25.0;14.0;2
201.0;32.0;46.0;0
175.0;49.0;10.0;1
156.0;55.0;72.0;2
178.0;38.0;50.0;2
174.0;31.0;33.0;0
202.0;36.0;48.0;0
154.0;26.0;30.0;0
173.0;75.0;6.0;0
199.0;33.0;53.0;0
171.0;39.0;41.0;2
169.0;86.0;34.0;0
185.0;49.0;35.0;2
160.0;64.0;23.0;2
173.0;85.0;27.0;0
193.0;44.0;40.0;1
139.0;47.0;35.0;1
166.0;24.0;32.0;0
195.0;42.0;45.0;1
163.0;46.0;27.0;1
163.0;51.0;32.0;1
174.0;53.0;11.0;1
135.0;18.0;22.0;2
174.0;29.0;15.0;1
192.0;55.0;37.0;2
197.0;37.0;54.0;0
167.0;87.0;26.0;0
163.0;57.0;18.0;1
176.0;67.0;20.0;0
172.0;18.0;34.0;0
172.0;52.0;5.0;2
132.0;18.0;17.0;2
132.0;32.0;17.0;2
187.0;41.0;36.0;1
200.0;34.0;55.0;0
145.0;21.0;16.0;2
189.0;58.0;69.0;2
197.0;32.0;48.0;2
188.0;54.0;11.0;2
187.0;46.0;43.0;1
179.0;44.0;36.0;1
134.0;25.0;22.0;2
151.0;53.0;32.0;1
134.0;29.0;13.0;2
160.0;43.0;40.0;2
179.0;80.0;52.0;2
205.0;39.0;46.0;0
198.0;33.0;42.0;0
177.0;46.0;44.0;2
164.0;76.0;22.0;0
161.0;48.0;20.0;1
190.0;53.0;49.0;2
161.0;42.0;35.0;1
144.0;19.0;9.0;2
199.0;31.0;47.0;0
175.0;90.0;28.0;0
155.0;50.0;10.0;1
144.0;29.0;22.0;2
167.0;67.0;16.0;2
170.0;20.0;22.0;0
146.0;21.0;24.0;2
167.0;34.0;13.0;1
167.0;28.0;17.0;2
205.0;38.0;56.0;0
137.0;21.0;7.0;2
164.0;46.0;20.0;1
157.0;29.0;20.0;0
181.0;30.0;42.0;2
138.0;23.0;11.0;2
141.0;47.0;13.0;1
160.0;48.0;5.0;1
157.0;38.0;25.0;0
151.0;41.0;32.0;1
137.0;27.0;9.0;2
197.0;64.0;51.0;2
143.0;20.0;10.0;2
171.0;49.0;24.0;0
166.0;86.0;20.0;0
152.0;45.0;21.0;1
203.0;36.0;49.0;0
158.0;75.0;21.0;0
175.0;78.0;42.0;2
190.0;38.0;38.0;0
168.0;42.0;20.0;1
130.0;22.0;18.0;2
182.0;51.0;21.0;2
182.0;60.0;44.0;2
159.0;42.0;6.0;1
202.0;40.0;47.0;0
190.0;48.0;36.0;1
202.0;34.0;54.0;0
179.0;38.0;11.0;1
191.0;42.0;37.0;1
136.0;22.0;14.0;2
200.0;31.0;50.0;0
132.0;32.0;24.0;2
190.0;40.0;39.0;1
159.0;46.0;34.0;1
199.0;38.0;52.0;0
205.0;43.0;50.0;0
159.0;36.0;28.0;0
155.0;39.0;27.0;1
189.0;47.0;36.0;1
199.0;34.0;57.0;0
181.0;45.0;56.0;2
188.0;61.0;24.0;2
157.0;73.0;30.0;0
